sentiment,location,retweet,score,hashtags,message,date,followers,likes,engagement_score,author,organization,sector,sub-sector
negative,"Chino Hills, CA",0,-0.1027,None,RT owlmaya RealSteveCox This has been known for a long long time Harris of course pretends not to have read her own briefing which,2021-04-28T16:52:07+00:00,17323,0,17323,RealSteveCox,Others,Others,Others
positive,Land of the Free,0,0.6705,None,RT BrettRSmith76 His wife sounds like a keeper Get your copy of the NYTs 1 amp Amazon 1 Bestseller Clinton Cash A Graphic Novel today,2021-04-28T16:52:07+00:00,3583,0,3583,TellTheTruth1,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Birmingham United Kingdom,0,0.4648,None,David Walker LOndon Black Edition SPARKLES 50ML Perfume David Walker via AmazonUK,2021-04-28T16:52:07+00:00,3,0,3,AbuFaraaz1,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"PLANET EARTH ",0,0.5574,None,akhileshsharma1 Flipkart amazon I also got one good Oximeter from you can try them price was only 1800,2021-04-28T16:52:07+00:00,53,0,53,NikhilNJ123,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Kingsteignton, Devon, England",0,0.0772,None,RT pcrclaims The next PsyOps phase will be to link the efficacy of lockdowns with reducing carbon Expect that propaganda once all the gl,2021-04-28T16:52:08+00:00,66,0,66,artworksplus,Others,Others,Others
positive,,0,0.4767,Judgmentday,RT RGGStudio Judgment Launch Giveaway JUDGMENTDAY 9days Were giving away a 40 Amazon voucher to 5 random entrants each day u,2021-04-28T16:52:08+00:00,327,0,327,VI_somar52,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Michigan, USA",0,0.8555,Winningwednesday,RT takeaDailybreak Its WinningWednesday Follow amp RT by 5 pm EDT for a chance to win a 25 Amazon gift card 18 US only Sweepst,2021-04-28T16:52:08+00:00,283,0,283,AndiKay36,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Milky Way %uD83D%uDCAB%u2014Home of @FLUID %uD83D%uDCA6,0,0.347,None,LOOKING FOR BULK AGED AMAZON amp TARGET ACCOUNTS DM,2021-04-28T16:52:08+00:00,36461,0,36461,BandarsBounties,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Empire City,0,0.25,None,RT CherylLBooks ReadersIf you preorder the Kindle of A DARK GENESIS today or tomorrow youre in with a chance of being gifted one of t,2021-04-28T16:52:08+00:00,8675,0,8675,althazyr,Others,Others,Others
positive,"Baton Rouge, Louisiana",0,0.7096,None,Why yes Amazon Indeed I might like this,2021-04-28T16:52:20+00:00,17276,0,17276,RTMannJr,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Internet,0,0.5719,None,Amazon Updates Its Elasticsearch Service Begins Embrace of New Fork InfoQAmazon recently released several enhancements to Amazon Elasticsearch ServiceAdd your highlights tech techbiz,2021-04-28T16:52:20+00:00,3201,0,3201,TechIndustry_b,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.6705,None,RT srivatsayb Poonawala is doing it like those Big Dhamaka sales by Amazon amp Flipkart where first they increase MRP amp then give discoun,2021-04-28T16:52:20+00:00,1562,0,1562,moi_artiste,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.0772,None,The entire facility should be shutdown with pay and all staff should be offered a vaccine Same goes for amazon amp other large orgs who should be covering paidsickdays for their employees The numbers are right in front of your faces fordnation TBayMOH,2021-04-28T16:52:20+00:00,7,0,7,JuliaS_MSc,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Michigan,0,0.5267,None,Deal Of The Day SAMSUNG Galaxy Watch 3 Smart Watch 45mm GPS BluetoothOnly 279 Amazon MSRP 429Deal Info Shopping giftideas Deal Deals DealOfTheDay DailyDeal Sale Sales clearance android samsung tech technews technology,2021-04-28T16:52:20+00:00,3799,0,3799,bestdealsearch,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.5709,None,Most active NASDAQ listed stocks so far todayDollar Volume Tesla TSLA Amazon AMZN Microsoft MSFT AMD Google GOOGL GOOG Apple AAPL QQQ Facebook FB MicroVision MVISVolume ADMA Sundial SNDL AMD Clover CLOV UXIN RIBT CTRM Ocugen OCGN NAKD VXRT NEPT SIRI,2021-04-28T16:52:21+00:00,81419,0,81419,StockMKTNewz,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,CyberSpace :-) #behindthesmile,0,-0.1793,Makingmoney,The time could not be better to put a link to my book on Amazon or Lulu read to find out why makingmoney online,2021-04-28T16:52:17+00:00,65629,0,65629,lekwilliams,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Los Angeles, CA",0,0.6908,None,RT ManuelE82469309 lissapolooza is on my wish list all the time n shes the cream 2 my coffee 2 n Naomi woods is my favorite f,2021-04-28T16:52:17+00:00,218918,0,218918,lissapolooza,Others,Others,Others
positive,"San Francisco, CA",0,0.2148,None,RT VahidRazavi amazonnews So Tired of JeffBezos Approved PR machine Know what its really like to work for awscloud read,2021-04-28T16:52:17+00:00,3771,0,3771,AgeofNepotism,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.1779,Handmaidstale,HandmaidsTaleseason 4when will it start on Amazon Prime Does this anybody know,2021-04-28T16:52:17+00:00,49,0,49,Satanjunior3,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Austin, TX",0,0.6486,None,thriveeachday People want earnings but Elon wants growth Same thing happened with Amazon for years everyone was complaining about lack of quarterly profit meanwhile Bezos was spending every dime to build a monster,2021-04-28T16:52:17+00:00,1186,0,1186,CJ_NFA,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Nederland,0,0.1779,Safemoon,RT SafemoonSamurai SAFEMOON is on Amazon,2021-04-28T16:52:17+00:00,14,0,14,BroerJah,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.6908,None,AmazonHelp I have checked all mails I have to go for legal action against such approach please share me the courier details who has picked the item from my house This is now extreme from amazon consumerservices,2021-04-28T16:52:16+00:00,1,0,1,RinaKum69590502,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Massachusetts, USA",0,0.8555,Winningwednesday,RT takeaDailybreak Its WinningWednesday Follow amp RT by 5 pm EDT for a chance to win a 25 Amazon gift card 18 US only Sweepst,2021-04-28T16:52:16+00:00,6,0,6,kellyb026,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Welshman in Manchester,0,0.6908,None,RT awswhatsnew New digital course AWS Network Connectivity OptionsWere excited to announce a free digital course AWS Network Connect,2021-04-28T16:52:16+00:00,144,0,144,arundel_ben,Others,Others,Others
positive,,0,0.6705,None,RT srivatsayb Poonawala is doing it like those Big Dhamaka sales by Amazon amp Flipkart where first they increase MRP amp then give discoun,2021-04-28T16:52:17+00:00,50,0,50,Santosh64060441,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,"Queens, NY",0,-0.7351,None,DDLarsen2 Bonnie Boring petite smartmouthed customer service girl secretly the megapowered Ms Infinity Join her in the adventure of a lifetime as she defends the Earth from the terrifying Misery,2021-04-28T16:52:15+00:00,3318,0,3318,Ms_Infinity1,Others,Others,Others
positive,,0,0.1027,None,heynowKentucky Thanks for bringing this to our attention Information to verify an authentic Amazon contact and to report fraudulent ones can be found here Matt,2021-04-28T16:52:15+00:00,387763,0,387763,AmazonHelp,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,USA,0,0.6124,None,RT kathrynw5 This is actually impressive The Tyranny of Big Tech purchasable on Amazon advertised on Twitter tweeted from an Apple iP,2021-04-28T16:52:15+00:00,2,0,2,Evan26815416,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,FunkoLand,0,0.1779,Ad,RT FunkoPOPsNews The new Parks and Rec Funko POPs Are now live on Amazon link below Linky Ad FPN FunkoPO,2021-04-28T16:52:15+00:00,63122,0,63122,FunkoPOPsNews,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.7297,None,DrJ Amazon stock split RUMORED EVERYWHERE ROFL,2021-04-28T16:52:19+00:00,1040,0,1040,roberee,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"TrapAngeles,Ca ",0,0.0772,None,Somebody asked what was that song we just played Stay Down by Lil Durk Ft 6lack and Young Thug Tune In Now Click Here to Listen And Drop Some Feedback Buy song,2021-04-28T16:52:19+00:00,40404,0,40404,trapxLA,Others,Others,Others
positive,Dystopia,0,0.6908,None,RT RLMT The Glimmerings series is a fun romp full of romance and magic no holds barred At present the series stands at three volumes,2021-04-28T16:52:19+00:00,5129,0,5129,AlexanderZPain,Others,Others,Others
negative,,0,-0.296,None,RT Teslarati Former Tesla UI designer teases Cybertruck design Full SelfDriving animations by KlenderJoey,2021-04-28T16:52:22+00:00,1099,0,1099,7LadyQ,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
positive,Republic of the Philippines,0,0.347,None,RT BandarsBounties LOOKING FOR BULK AGED AMAZON amp TARGET ACCOUNTS DM,2021-04-28T16:52:22+00:00,276,0,276,insanelylucky77,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,,0,-0.0516,Bev,RT ceoplusch Top 10 BEV fully electric vehicles in Europe Q12021 The Tesla Model3 alone took 16 of the market Almost as,2021-04-28T16:52:18+00:00,139,0,139,fahrIehrer,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
positive,"Ibadan, Nigeria ",0,0.4019,None,BlaqJoker91 I wish you a tesla so it can autodrive,2021-04-28T16:52:19+00:00,873,0,873,Shoyeanker,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
positive,,0,0.5766,None,elonmusk I KNOW HOW TO GET DOGE TO THE MOON SELL UR TESLA STOCK FOR THE LULZ AND BUY DOGE,2021-04-28T16:52:21+00:00,1,0,1,SkyPowell8,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
positive,,0,0.1779,None,RT JENFL23 If you can buy from a small business instead of Amazon,2021-04-28T16:52:23+00:00,21,0,21,ROBIN78315781,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.4588,None,RT Teslaprotocol Tesla Protocol Airdrop is live Welcome to Tesla Protocol CommunityParticipate in our Airdrop and earn to 100,2021-04-28T16:52:02+00:00,17,0,17,Hasanrakib2444,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
positive,"Milky Way Galaxy, Virgo LSC",0,0.1779,None,RT QTGEnt Were starting a new series Come kick it with us as we chat Do authors owe you anything Amazon spending big bucks on LOTR,2021-04-28T16:52:02+00:00,1884,0,1884,theFLOCKAVELI,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,,0,-0.1027,None,Why the fuck would you want an AI car if youre just gonna correct it lol,2021-04-28T16:52:02+00:00,30,0,30,sturbcomp,Others,Others,Others
positive,"Hampshire, UK",0,0.1779,None,badmachinery DarkHorseComics maxsarin This has caused me to notice that the first volume is attributed to Sarah Allison John Stern on Amazon which seems inaccurate,2021-04-28T16:52:02+00:00,2268,0,2268,muninnherself,Others,Others,Others
positive,,0,0.09,None,RT kernaghanscott5 Govt has to PROVE outbreak before closing Amazon but not to close gyms amp churchesbillie eilish below is a role m,2021-04-28T16:52:02+00:00,4191,0,4191,ILYM333,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Louisiana, USA",0,0.8625,Romance,RT beckvalleybooks Romance anthology Love on the Edge Mindful Writers Retreat Series has various authors writing differently on the m,2021-04-28T16:52:03+00:00,9093,0,9093,chariss_walker,Others,Others,Others
negative,,0,-0.5574,None,RT mikecoulson48 Brazilian authorities must evict armed illegal miners from Munduruku territory Lets call on ClimateEnvoy amp USAmbBR t,2021-04-28T16:52:03+00:00,3734,0,3734,60Sparkle,Others,Others,Others
